theme,title,publication_year,cited_by_count,source_display_name,source_url,doi,has_pdf,is_open_access,research_track
Comportamento dos rios,Changes in Continental Freshwater Discharge from 1948 to 2004,2008,958,Journal of Climate,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=2966&context=vimsarticles,https://doi.org/10.1175/2008jcli2592.1,True,True,n2_hidrologia_ana_hidroweb_parana_grande_paranaiba_tiete_sucuriu
Comportamento dos rios,Dams and the fish fauna of the Neotropical region: impacts and management related to diversity and fisheries,2008,779,Brazilian Journal of Biology,https://www.scielo.br/j/bjb/a/5ycwcWLBLM6jN9gMQMcysdK/?lang=en&format=pdf,https://doi.org/10.1590/s1519-69842008000500019,True,True,n2_operacao_reservatorios_ons_sar
Pressao territorial,Freshwater Bivalve Extinctions (Mollusca: Unionoida): A Search for Causes,1993,550,American Zoologist,https://academic.oup.com/icb/article-pdf/33/6/599/6053784/33-6-599.pdf,https://doi.org/10.1093/icb/33.6.599,True,True,n2_uso_solo_agro_queimadas_mapbiomas_inpe_ibge
Comportamento da bacia,Evaluation of TRMM Multisatellite Precipitation Analysis (TMPA) and Its Utility in Hydrologic Prediction in the La Plata Basin,2008,495,Journal of Hydrometeorology,https://journals.ametsoc.org/downloadpdf/journals/hydr/9/4/2007jhm944_1.pdf,https://doi.org/10.1175/2007jhm944.1,True,True,n1_geografia_bacia_jupia_ottobacias
Comportamento dos rios,Fish and aquatic habitat conservation in South America: a continental overview with emphasis on neotropical systems,2010,421,Journal of Fish Biology,http://repositorio.furg.br/handle/1/1948,https://doi.org/10.1111/j.1095-8649.2010.02684.x,True,True,n2_operacao_reservatorios_ons_sar
Comportamento dos rios,"Extreme Drought in the Brazilian Pantanal in 2019–2020: Characterization, Causes, and Impacts",2021,356,Frontiers in Water,https://www.frontiersin.org/articles/10.3389/frwa.2021.639204/pdf,https://doi.org/10.3389/frwa.2021.639204,True,True,n2_hidrologia_ana_hidroweb_parana_grande_paranaiba_tiete_sucuriu
Comportamento da bacia,The Hydrologic Cycle of the La Plata Basin in South America,2002,272,Journal of Hydrometeorology,https://journals.ametsoc.org/downloadpdf/journals/hydr/3/6/1525-7541_2002_003_0630_thcotl_2_0_co_2.pdf,https://doi.org/10.1175/1525-7541(2002)003<0630:thcotl>2.0.co;2,True,True,n1_geografia_bacia_jupia_ottobacias
Sedimentos e turbidez,The regional intraplate stress field in South America,1992,210,Journal of Geophysical Research Atmospheres,https://doi.org/10.1029/91jb01590,https://doi.org/10.1029/91jb01590,False,False,n3_sedimentos_turbidez_assoreamento_jupia
Comportamento dos rios,"Limnology in the Upper Paraná River floodplain: large-scale spatial and temporal patterns, and the influence of reservoirs",2009,203,Brazilian Journal of Biology,https://www.scielo.br/j/bjb/a/tmspstsPphgrMVXsj9tSshn/?lang=en&format=pdf,https://doi.org/10.1590/s1519-69842009000300025,True,True,n2_operacao_reservatorios_ons_sar
Clima e variabilidade,"Wetland loss due to land use change in the Lower Paraná River Delta, Argentina",2016,185,The Science of The Total Environment,https://ars.els-cdn.com/content/image/1-s2.0-S0048969716308993-fx1_lrg.jpg,https://doi.org/10.1016/j.scitotenv.2016.04.200,True,True,n2_clima_chuva_seca_jupia
