point_code,hydric_system,parameter,unit,year_month,value,samples
BAGU02700,Ribeirão Baguaçu - BAGU,4:2 FTS - Ácido perfluorohexano sulfônic,ng/L,2026-01-01,0.15,1
BAGU02700,Ribeirão Baguaçu - BAGU,6:2 FTS – Ácido perfluooroctano sulfônic,ng/L,2026-01-01,0.15,1
BAGU02700,Ribeirão Baguaçu - BAGU,8:2 FTS - Ácido perfluorodecano sulfônic,ng/L,2026-01-01,0.15,1
BAGU02700,Ribeirão Baguaçu - BAGU,AMPA,µg/L,2024-11-01,10.0,1
BAGU02700,Ribeirão Baguaçu - BAGU,AMPA,µg/L,2026-01-01,10.0,1
BAGU02700,Ribeirão Baguaçu - BAGU,Absorbância no Ultravioleta,Adimensional,2005-05-01,0.13,1
BAGU02700,Ribeirão Baguaçu - BAGU,Absorbância no Ultravioleta,Adimensional,2005-11-01,0.088,1
BAGU02700,Ribeirão Baguaçu - BAGU,Absorbância no Ultravioleta,Adimensional,2006-05-01,0.059,1
BAGU02700,Ribeirão Baguaçu - BAGU,Absorbância no Ultravioleta,Adimensional,2006-11-01,0.126,1
BAGU02700,Ribeirão Baguaçu - BAGU,Absorbância no Ultravioleta,Adimensional,2007-05-01,0.131,1
BAGU02700,Ribeirão Baguaçu - BAGU,Absorbância no Ultravioleta,Adimensional,2007-11-01,0.235,1
BAGU02700,Ribeirão Baguaçu - BAGU,Absorbância no Ultravioleta,Adimensional,2008-05-01,0.144,1
BAGU02700,Ribeirão Baguaçu - BAGU,Absorbância no Ultravioleta,Adimensional,2008-11-01,0.193,1
BAGU02700,Ribeirão Baguaçu - BAGU,Adenovírus,CG/L,2026-01-01,343.0,1
BAGU02700,Ribeirão Baguaçu - BAGU,Adenovírus,CG/L,2026-04-01,1090.0,1
BAGU02700,Ribeirão Baguaçu - BAGU,Alcalinidade Total,mg/L,2009-01-01,40.0,1
BAGU02700,Ribeirão Baguaçu - BAGU,Alcalinidade Total,mg/L,2009-03-01,48.0,1
BAGU02700,Ribeirão Baguaçu - BAGU,Alcalinidade Total,mg/L,2009-06-01,44.0,1
BAGU02700,Ribeirão Baguaçu - BAGU,Alcalinidade Total,mg/L,2009-08-01,48.0,1
BAGU02700,Ribeirão Baguaçu - BAGU,Alcalinidade Total,mg/L,2009-10-01,35.0,1
BAGU02700,Ribeirão Baguaçu - BAGU,Alcalinidade Total,mg/L,2009-12-01,42.0,1
