date,Vazao afluente,Volume util,Turbidez,Solidos totais,OD,Fosforo total,Nitrato,Condutividade,Ferro total
2000-01-01,6306.387096774193,,,,,,,,
2000-02-01,6305.758620689655,,6.0,44.0,6.7,0.025,0.3,2.0,0.46
2000-03-01,7404.903225806452,,,,,,,,
2000-04-01,6611.166666666667,,15.0,50.0,6.6,0.041,0.3,53.0,0.65
2000-05-01,6772.032258064516,,,,,,,,
2000-06-01,7050.066666666667,,4.0,50.0,7.5,0.01,0.3,42.0,0.2
2000-07-01,6810.096774193548,,,,,,,,
2000-08-01,6607.387096774193,,2.0,69.0,8.6,0.043,0.3,43.0,0.12
2000-09-01,5809.7,,,,,,,,
2000-10-01,6043.387096774193,,2.0,52.0,7.7,0.04,0.3,55.0,0.04
2000-11-01,5889.2,,,,,,,,
2000-12-01,5742.258064516129,,5.0,49.0,7.4,0.03,0.2,49.0,0.18
2001-01-01,6383.709677419355,,,,,,,,
2001-02-01,6540.857142857143,,6.0,62.0,5.6,0.011,0.3,122.0,0.3
2001-03-01,6518.83870967742,,,,,,,,
2001-04-01,5529.233333333334,,8.0,48.0,7.0,0.18,0.3,47.0,0.35
2001-05-01,4921.967741935484,,,,,,,,
2001-06-01,3922.6,,4.0,56.0,8.1,0.019,0.3,39.0,0.11
2001-07-01,3146.064516129032,,,,,,,,
2001-08-01,3416.903225806452,,4.0,58.0,8.8,0.022,0.3,52.0,0.11
2001-09-01,3394.0333333333333,,,,,,,,
2001-10-01,3202.032258064516,,2.0,56.0,7.0,0.019,0.3,64.0,0.03
2001-11-01,3278.5333333333333,,,,,,,,
2001-12-01,3622.032258064516,,6.0,61.0,6.0,0.045,0.3,61.0,0.19
2002-01-01,5156.386774193548,,,,,,,,
2002-02-01,8167.931071428572,,8.8,62.0,8.3,0.028,0.3,74.0,0.3
2002-03-01,7787.654193548387,,,,,,,,
2002-04-01,6306.117333333333,,12.0,66.0,6.8,0.019,0.3,61.0,0.24
2002-05-01,5395.146774193548,,,,,,,,
2002-06-01,4840.441666666667,,3.7,71.0,6.8,0.031,0.3,58.0,0.12
2002-07-01,4820.892580645162,,,,,,,,
2002-08-01,5088.342580645161,,3.6,67.0,7.7,0.025,0.3,66.0,0.05
2002-09-01,5110.531,,,,,,,,
2002-10-01,5467.697419354839,,1.8,67.0,6.7,0.018,0.3,75.0,0.06
2002-11-01,4939.376333333334,,,,,,,,
2002-12-01,5069.992580645161,,8.7,62.0,5.8,0.018,0.3,138.0,0.14
2003-01-01,4600.886129032258,,,,,,,,
2003-02-01,6922.5992857142855,,6.2,57.0,6.4,0.015,0.3,66.0,0.28
2003-03-01,6951.892580645162,,,,,,,,
2003-04-01,6820.009,,43.0,70.0,6.3,0.015,0.3,52.0,0.67
2003-05-01,5649.604193548387,,,,,,,,
2003-06-01,5287.666333333333,,4.4,88.0,8.2,0.053,0.3,58.0,0.3
2003-07-01,5576.823870967743,,,,,,,,
2003-08-01,6031.278064516129,,1.9,95.0,7.9,0.009,0.3,72.0,0.1
2003-09-01,6393.569,,,,,,,,
2003-10-01,6998.538387096774,,3.4,102.0,6.9,0.019,0.3,78.0,0.19
2003-11-01,5898.754,,,,,,,,
2003-12-01,5738.312903225807,,19.0,103.0,6.0,0.015,0.3,62.0,0.33
2004-01-01,5606.420322580645,,,,,,,,
2004-02-01,6261.248620689655,,4.5,103.0,7.6,0.012,0.3,59.7,0.19
2004-03-01,7331.390322580645,,,,,,,,
2004-04-01,7427.860666666666,,8.7,95.0,7.0,0.012,0.3,56.0,0.32
2004-05-01,5862.91193548387,,,,,,,,
2004-06-01,5732.737666666667,,5.5,96.0,8.0,0.012,0.3,55.0,0.25
2004-07-01,5058.084193548387,,,,,,,,
2004-08-01,5563.287419354839,,2.5,41.0,6.4,0.012,0.3,69.0,0.1
2004-09-01,6144.327,,,,,,,,
2004-10-01,5721.977741935484,,3.0,109.0,6.9,0.02,0.3,68.0,0.1
2004-11-01,5664.899,,,,,,,,
2004-12-01,6149.534838709677,,3.0,108.0,6.0,0.02,0.3,75.0,0.17
2005-01-01,10092.664838709676,,,,,,,,
2005-02-01,9315.534642857145,,20.0,98.0,9.4,0.02,0.3,60.0,0.78
2005-03-01,7718.489354838709,,,,,,,,
2005-04-01,6636.475666666666,,6.5,99.0,5.5,0.03,0.3,60.0,0.6
2005-05-01,6011.58806451613,,,,,,,,
