station_code,entity,water_body,uf,latitude,longitude,parameters,first_year,last_year,years
60019000,ADASA,Rio Samambaia,DF,-16.041576,-47.596313,1,2016,2020,4
60435000,ADASA,ALTO RIO DESCOBERTO,DF,-15.71,-48.23,1,2016,2020,4
60435170,ADASA,BARRAGEM DO DESCOBERTO,DF,-15.72,-48.21,1,2016,2020,4
60435200,ADASA,RIBEIRÃO RODEADOR,DF,-15.74,-48.17,1,2016,2020,4
60435250,ADASA,RIBEIRÃO RODEADOR,DF,-15.73555556,-48.17416667,1,2013,2013,1
60435450,ADASA,BARRAGEM DO DESCOBERTO,DF,-15.74,-48.211666,1,2016,2020,4
60435460,ADASA,BARRAGEM DO DESCOBERTO,DF,-15.746111,-48.184166,1,2016,2020,4
60435470,ADASA,BARRAGEM DO DESCOBERTO,DF,-15.768333,-48.212222,1,2016,2020,4
60435480,ADASA,BARRAGEM DO DESCOBERTO,DF,-15.767222,-48.220555,1,2016,2020,4
60435490,ADASA,BARRAGEM DESCOBERTO,DF,-15.77694444,-48.23111111,1,2013,2013,1
60435500,ADASA,DESCOBERTO BARRAGEM,DF,-15.778325,-48.23155,1,2016,2020,4
60436145,ADASA,Informação não disponível,DF,-15.852913,-48.094847,1,2014,2020,5
60436150,ADASA,RIO DESCOBERTO,DF,-15.93138889,-48.25888889,1,2013,2013,1
60436185,ADASA,Informação não disponível,DF,-15.926808,-48.259015,1,2011,2020,5
60436186,ADASA,MÉDIO RIO DESCOBERTO,DF,-15.931216,-48.258888,1,2016,2020,4
60436195,ADASA,Informação não disponível,DF,-15.94375,-48.247905,1,2016,2020,4
60436300,ADASA,Informação não disponível,DF,-16.008194,-48.272075,1,2016,2020,4
60436400,ADASA,Informação não disponível,DF,-16.053198,-48.245409,2,2009,2020,11
60443830,ADASA,Informação não disponível,DF,-16.035692,-48.138174,1,2016,2020,4
60443975,ADASA,RIBEIRÃO SANTA MARIA,DF,-16.052222,-48.020833,1,2013,2018,6
60444035,ADASA,Informação não disponível,DF,-16.04597,-48.082622,2,2009,2020,10
60476155,ADASA,Informação não disponível,DF,-15.80958,-47.700662,1,2016,2020,4
