basin_key,basin_label,reservoir_key,reservoir_label,year_month,date,inflow_m3s,outflow_m3s,natural_flow_m3s,incremental_flow_m3s,useful_volume_pct,level_upstream_m,daily_records
GRANDE,Rio Grande,A. VERMELHA,Agua Vermelha,2000-01,2000-01-01,2311.215483870968,1940.0967741935483,4431.476451612903,416.0283870967742,12.963548387096774,374.9258064516129,31
GRANDE,Rio Grande,FURNAS,Furnas,2000-01,2000-01-01,2177.83935483871,946.0967741935484,2248.472580645161,1647.9996774193548,20.861290322580647,755.4983870967742,31
GRANDE,Rio Grande,IGARAPAVA,Igarapava,2000-01,2000-01-01,1223.8480645161292,1227.0,2646.1725806451614,65.46516129032258,,511.9629032258065,31
GRANDE,Rio Grande,L. C. BARRETO,Luis Carlos Barreto,2000-01,2000-01-01,1105.3274193548389,1090.9032258064517,2589.853870967742,54.73483870967742,,620.3067741935483,31
GRANDE,Rio Grande,MARIMBONDO,Marimbondo,2000-01,2000-01-01,2612.5787096774193,1904.0967741935483,4089.3341935483872,853.8264516129032,31.016774193548386,435.31129032258065,31
GRANDE,Rio Grande,P. COLOMBIA,Porto Colombia,2000-01,2000-01-01,1619.9767741935484,1591.516129032258,3096.6287096774195,351.2896774193548,,466.4661290322581,31
GRANDE,Rio Grande,VOLTA GRANDE,Volta Grande,2000-01,2000-01-01,1338.5064516129032,1319.8387096774193,2766.250322580645,144.07322580645163,,494.15161290322584,31
PARANA,Rio Parana / Jupia,I. SOLTEIRA,Ilha Solteira,2000-01,2000-01-01,5392.36935483871,5013.096774193548,9088.649677419355,531.7812903225807,15.74,323.8512903225806,31
PARANA,Rio Parana / Jupia,JUPIA,Jupia,2000-01,2000-01-01,6306.387096774193,6306.741935483871,10887.66,564.3732258064516,,279.5206451612903,31
PARANA,Rio Parana / Jupia,PORTO PRIMAVERA,Porto Primavera,2000-01,2000-01-01,7082.387096774193,7148.709677419355,11536.563548387097,719.5958074764517,,253.0283870967742,31
PARANAIBA,Rio Paranaiba,BATALHA,Batalha,2000-01,2000-01-01,,,162.45451612903227,,,,31
PARANAIBA,Rio Paranaiba,C. DOURADA,Cachoeira Dourada,2000-01,2000-01-01,1489.774193548387,1492.7096774193549,2293.4283870967743,99.30548387096773,,431.1561290322581,31
PARANAIBA,Rio Paranaiba,CORUMBA,Corumba,2000-01,2000-01-01,562.2258064516129,530.0967741935484,563.9464516129033,344.1306451612903,41.18451612903226,583.0696774193549,31
PARANAIBA,Rio Paranaiba,CORUMBA-3,Corumba-3,2000-01,2000-01-01,,,219.95677419354837,41.277419354838706,,0.0,31
PARANAIBA,Rio Paranaiba,CORUMBA-4,Corumba-4,2000-01,2000-01-01,,,178.75129032258064,178.75129032258064,,0.0,31
PARANAIBA,Rio Paranaiba,EMBORCACAO,Emborcacao,2000-01,2000-01-01,693.6451612903226,338.03225806451616,703.4677419354839,482.2512903225807,14.653548387096773,625.5164516129032,31
