Altitude,AreaDrenagem,BaciaCodigo,Codigo,CodigoAdicional,DataAlt,DataIns,Descricao,EstadoCodigo,Latitude,Longitude,MunicipioCodigo,Nome,NumImagens,OperadoraCodigo,OperadoraSigla,OperadoraSubUnidade,OperadoraUnidade,Operando,PeriodoClimatologicaFim,PeriodoClimatologicaInicio,PeriodoDescLiquidaFim,PeriodoDescLiquidaInicio,PeriodoEscalaFim,PeriodoEscalaInicio,PeriodoPiezometriaFim,PeriodoPiezometriaInicio,PeriodoPluviometroFim,PeriodoPluviometroInicio,PeriodoQualAguaFim,PeriodoQualAguaInicio,PeriodoRegistradorChuvaFim,PeriodoRegistradorChuvaInicio,PeriodoRegistradorNivelFim,PeriodoRegistradorNivelInicio,PeriodoSedimentosFim,PeriodoSedimentosInicio,PeriodoTanqueEvapoFim,PeriodoTanqueEvapoInicio,PeriodoTelemetricaFim,PeriodoTelemetricaInicio,ResponsavelCodigo,ResponsavelJurisdicao,ResponsavelSigla,ResponsavelUnidade,RioCodigo,RioNome,SubBaciaCodigo,TipoEstacao,TipoEstacaoClimatologica,TipoEstacaoDescLiquida,TipoEstacaoEscala,TipoEstacaoPiezometria,TipoEstacaoPluviometro,TipoEstacaoQualAgua,TipoEstacaoRegistradorChuva,TipoEstacaoRegistradorNivel,TipoEstacaoSedimentos,TipoEstacaoTanqueEvapo,TipoEstacaoTelemetrica,TipoRedeBasica,TipoRedeCaptacao,TipoRedeClasseVazao,TipoRedeCursoDagua,TipoRedeEnergetica,TipoRedeEstrategica,TipoRedeNavegacao,TipoRedeQualAgua,TipoRedeSedimentos,UltimaAtualizacao,nmEstado,nmMunicipio,requested_filter,source_query
339.0,,6,1952023,,2022-09-27 00:00:00,2022-09-27 00:00:00,RES. ANA/ANEEL N. 0,28,-19.8083,-52.2753,28055000,UHE JUPIÁ RIO SUCURIÚ,0,1062,RIO PARANÁ,1.0,,1,,,,,,,,,,2022-07-01 00:00:00,,,,,,,,,,,,2022-07-01 00:00:00,1062,,RIO PARANÁ,,,,63,2,0,0,0,0,1,0,0,0,0,0,1,,,0.0,0,1,,,0,0,2022-09-27 00:00:00,MATO GROSSO DO SUL,TRÊS LAGOAS,"{""nmEst"": ""JUPIÁ""}",station_name_jupia_accent
,,6,2051009,,2022-09-29 00:00:00,,RES. ANA/ANEEL N. 0,21,-20.7819,-51.6328,21111000,UHE JUPIÁ BARRAMENTO,0,1062,RIO PARANÁ,1.0,,1,,,,,,,,,,1944-06-01 00:00:00,,,,,,,,,,,,2017-08-01 00:00:00,1062,,RIO PARANÁ,,,,63,2,0,0,0,0,1,0,0,0,0,0,1,0.0,6.0,0.0,0,1,0.0,0.0,0,0,2022-09-29 00:00:00,SÃO PAULO,CASTILHO,"{""nmEst"": ""JUPIÁ""}",station_name_jupia_accent
270.0,,6,2051027,B8-005,2010-04-28 00:00:00,,,28,-20.7833,-51.7167,28055000,JUPIÁ (EFNOB),0,10,SPÁGUAS-SP,,,1,,,,,,,,,,1944-04-01 00:00:00,,,,,,,,,,,,,10,,SPÁGUAS-SP,21.0,,,63,2,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,2005-05-18 00:00:00,MATO GROSSO DO SUL,TRÊS LAGOAS,"{""nmEst"": ""JUPIÁ""}",station_name_jupia_accent
260.0,,6,2051037,B8-031,2012-07-30 00:00:00,,,28,-20.8,-51.6333,28055000,JUPIÁ,0,10,SPÁGUAS-SP,,,1,,,,,,,,,,1971-10-01 00:00:00,,,1971-10-01 00:00:00,1971-10-01 00:00:00,,,,,,,,,10,,SPÁGUAS-SP,21.0,,,63,2,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,2012-07-30 00:00:00,MATO GROSSO DO SUL,TRÊS LAGOAS,"{""nmEst"": ""JUPIÁ""}",station_name_jupia_accent
,,6,2052007,,2016-07-07 00:00:00,,RES. ANA/ANEEL N. 0,28,-20.205,-52.0878,28055000,UHE JUPIÁ FAZENDA SÃO SEBASTIÃO,0,1062,RIO PARANÁ,1.0,,1,,,,,,,,,,1990-11-01 00:00:00,,,,,,,,,,,,2001-01-01 00:00:00,1062,,RIO PARANÁ,,,,63,2,0,0,0,0,1,0,0,0,0,0,1,0.0,6.0,0.0,0,1,0.0,1.0,0,0,2016-07-07 00:00:00,MATO GROSSO DO SUL,TRÊS LAGOAS,"{""nmEst"": ""JUPIÁ""}",station_name_jupia_accent
,,6,62019900,,2016-09-22 00:00:00,2015-03-05 00:00:00,RES. ANA/ANEEL N. 0,21,-20.4122,-51.3808,21206700,UHE JUPIÁ ILHA SOLTEIRA,0,1062,RIO PARANÁ,1.0,,1,,,,,,,,,,,,2015-01-01 00:00:00,,,,,,,,,,,1062,,RIO PARANÁ,,60001000.0,RIO PARANÁ,62,1,0,0,0,0,0,1,0,0,0,0,0,0.0,6.0,0.0,2,1,0.0,0.0,3,0,2016-09-22 00:00:00,SÃO PAULO,ILHA SOLTEIRA,"{""nmEst"": ""JUPIÁ""}",station_name_jupia_accent
,,6,62916000,,2016-09-22 00:00:00,2015-03-05 00:00:00,RES. ANA/ANEEL N. 0,21,-20.69,-51.3872,21022000,UHE JUPIÁ TIMBORÉ,0,1062,RIO PARANÁ,1.0,,1,,,,,,,,,,,,2015-01-01 00:00:00,,,,,,,,,,,1062,,RIO PARANÁ,,62200000.0,RIO TIETÊ,62,1,0,0,0,0,0,1,0,0,0,0,0,0.0,6.0,,2,1,0.0,0.0,3,0,2016-09-22 00:00:00,SÃO PAULO,ANDRADINA,"{""nmEst"": ""JUPIÁ""}",station_name_jupia_accent
339.0,,6,63001850,,2022-09-27 00:00:00,2022-09-27 00:00:00,RES. ANA/ANEEL N. 0,28,-19.8083,-52.2753,28055000,UHE JUPIÁ RIO SUCURIÚ,0,1062,RIO PARANÁ,1.0,,1,,,,2022-07-01 00:00:00,,2022-07-01 00:00:00,,,,,,,,,,,,2022-07-01 00:00:00,,,,2022-07-01 00:00:00,1062,,RIO PARANÁ,,63100000.0,RIO SUCURIÚ,63,1,0,1,1,0,0,0,0,0,1,0,1,,,0.0,0,1,,,0,0,2022-09-27 00:00:00,MATO GROSSO DO SUL,TRÊS LAGOAS,"{""nmEst"": ""JUPIÁ""}",station_name_jupia_accent
,20300.0,6,63003200,,2016-07-07 00:00:00,,RES. ANA/ANEEL N. 0,28,-20.205,-52.0878,28055000,UHE JUPIÁ FAZENDA SÃO SEBASTIÃO,0,1062,RIO PARANÁ,1.0,,1,,,,1983-03-01 00:00:00,,1983-03-01 00:00:00,,,,,,,,,,,,2006-12-01 00:00:00,,,,2001-12-01 00:00:00,1062,,RIO PARANÁ,,63100000.0,RIO SUCURIÚ,63,1,0,1,1,0,0,0,0,0,1,0,1,0.0,6.0,1.0,2,1,0.0,0.0,0,0,2016-07-07 00:00:00,MATO GROSSO DO SUL,TRÊS LAGOAS,"{""nmEst"": ""JUPIÁ""}",station_name_jupia_accent
,,6,63003300,,2016-09-22 00:00:00,2015-03-05 00:00:00,RES. ANA/ANEEL N. 0,28,-20.6003,-51.8525,28055000,UHE JUPIÁ SUCURIÚ,0,1062,RIO PARANÁ,1.0,,1,,,,,,,,,,,,2015-01-01 00:00:00,,,,,,,,,,,1062,,RIO PARANÁ,,60001000.0,RIO PARANÁ,63,1,0,0,0,0,0,1,0,0,0,0,0,0.0,6.0,0.0,3,1,0.0,0.0,3,0,2016-09-22 00:00:00,MATO GROSSO DO SUL,TRÊS LAGOAS,"{""nmEst"": ""JUPIÁ""}",station_name_jupia_accent
,,6,63003400,,2016-09-22 00:00:00,2015-03-05 00:00:00,RES. ANA/ANEEL N. 0,21,-20.7569,-51.6364,21111000,UHE JUPIÁ RESERVATÓRIO,0,1062,RIO PARANÁ,1.0,,1,,,,,,,,,,,,2015-01-01 00:00:00,,,,,,,,,,,1062,,RIO PARANÁ,,60001000.0,RIO PARANÁ,63,1,0,0,0,0,0,1,0,0,0,0,0,0.0,6.0,0.0,2,1,0.0,0.0,3,0,2016-09-22 00:00:00,SÃO PAULO,CASTILHO,"{""nmEst"": ""JUPIÁ""}",station_name_jupia_accent
260.0,476000.0,6,63004000,PARN02100,2016-09-29 00:00:00,,RNQA_SPMS-8459-IE-2,21,-20.7778,-51.6294,21111000,RIO PARANÁ (sobre a barragem de Jupiá),0,113,CETESB-SP,,,1,,,,,,,,,,,,1974-10-01 00:00:00,,,,,,,,,,,113,,CETESB-SP,,60001000.0,RIO PARANÁ,63,1,0,0,0,0,0,1,0,0,0,0,0,0.0,7.0,0.0,2,0,0.0,0.0,3,0,2016-09-29 00:00:00,SÃO PAULO,CASTILHO,"{""nmEst"": ""JUPIÁ""}",station_name_jupia_accent
290.0,476000.0,6,63005000,,,,,21,-20.7903,-51.6317,21022000,JUPIÁ - PONTE,0,1,ANA,,,0,,,,,1967-11-01 00:00:00,1924-01-01 00:00:00,,,,,1988-08-01 00:00:00,1978-12-01 00:00:00,,,,,,,,,,,1,1.0,ANA,27.0,60001000.0,RIO PARANÁ,63,1,0,0,0,0,0,0,0,0,0,0,0,0.0,7.0,1.0,2,0,0.0,0.0,10,0,2006-08-08 00:00:00,SÃO PAULO,ANDRADINA,"{""nmEst"": ""JUPIÁ""}",station_name_jupia_accent
,,6,63007070,8B-005,,2014-11-27 00:00:00,,28,-20.7914,-51.6228,28055000,JUPIÁ MONTANTE,0,10,SPÁGUAS-SP,,,1,,,,1955-06-01 00:00:00,,1955-06-01 00:00:00,,,,,,,,,,,,,,,,,10,,SPÁGUAS-SP,21.0,60001000.0,RIO PARANÁ,63,1,0,1,1,0,0,0,0,0,0,0,0,0.0,7.0,0.0,2,0,0.0,0.0,0,0,2014-11-26 00:00:00,MATO GROSSO DO SUL,TRÊS LAGOAS,"{""nmEst"": ""JUPIÁ""}",station_name_jupia_accent
,476000.0,6,63007080,,2022-09-27 00:00:00,,RES. ANA/ANEEL N. 0,21,-20.7814,-51.6333,21111000,UHE JUPIÁ BARRAMENTO,0,1062,RIO PARANÁ,1.0,,1,,,,2020-09-01 00:00:00,,1968-11-01 00:00:00,,,,,,,,,,,,,,,,1968-11-01 00:00:00,1062,,RIO PARANÁ,,60001000.0,RIO PARANÁ,63,1,0,1,1,0,0,0,0,0,0,0,1,0.0,6.0,0.0,3,1,0.0,0.0,0,0,2022-09-27 00:00:00,SÃO PAULO,CASTILHO,"{""nmEst"": ""JUPIÁ""}",station_name_jupia_accent
