station_code,station_name,river_name,series_type,date,monthly_mean
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1983-02-01,349.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1983-03-01,344.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1983-04-01,327.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1983-05-01,308.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1983-06-01,306.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1983-07-01,294.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1983-08-01,291.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1983-09-01,294.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1983-10-01,300.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1983-11-01,315.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1983-12-01,328.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1984-01-01,332.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1984-02-01,328.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1984-03-01,330.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1984-04-01,322.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1984-05-01,321.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1984-06-01,316.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1984-07-01,310.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1984-08-01,320.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1984-09-01,300.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1984-10-01,286.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1984-11-01,302.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1984-12-01,320.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1985-01-01,344.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1985-02-01,367.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1985-03-01,357.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1985-04-01,334.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1985-05-01,314.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1985-06-01,305.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1985-07-01,300.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1985-08-01,293.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1985-09-01,290.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1985-10-01,293.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1985-11-01,302.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1985-12-01,297.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1986-01-01,318.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1986-02-01,327.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1986-03-01,336.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1986-04-01,322.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1986-05-01,312.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1986-06-01,302.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1986-07-01,293.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1986-08-01,298.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1986-09-01,295.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1986-10-01,292.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1986-11-01,292.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1986-12-01,310.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1987-01-01,330.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1987-02-01,352.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1987-03-01,350.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1987-04-01,328.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1987-05-01,320.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1987-06-01,304.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1987-07-01,292.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1987-08-01,291.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1987-09-01,288.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1987-10-01,317.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1987-11-01,310.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1987-12-01,311.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1988-06-01,314.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1988-07-01,303.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1988-08-01,297.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1988-09-01,291.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1988-10-01,293.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1988-11-01,307.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1988-12-01,318.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1989-01-01,356.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1989-02-01,359.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1989-03-01,358.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1989-04-01,348.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1989-05-01,324.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1989-06-01,312.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1989-07-01,310.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1989-08-01,308.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1989-09-01,303.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1989-10-01,299.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1989-11-01,316.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1989-12-01,343.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1990-01-01,708.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1990-02-01,330.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1990-03-01,633.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1990-04-01,634.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1990-05-01,632.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1990-06-01,604.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1990-07-01,593.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1990-08-01,291.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1990-09-01,583.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1990-10-01,606.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1990-11-01,658.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1990-12-01,631.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1991-06-01,304.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1991-07-01,300.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1991-08-01,294.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1991-09-01,293.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1991-10-01,305.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1991-11-01,292.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1991-12-01,309.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1992-01-01,333.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1992-02-01,333.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1992-03-01,344.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1992-04-01,336.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1992-05-01,320.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1992-06-01,303.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1992-07-01,297.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1992-08-01,295.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1992-09-01,310.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1992-10-01,314.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1992-11-01,318.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1992-12-01,327.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1993-01-01,323.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1993-02-01,350.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1993-03-01,341.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1993-04-01,345.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1993-05-01,316.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1993-06-01,312.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1993-07-01,307.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1993-08-01,302.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1993-09-01,307.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1993-10-01,304.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1993-11-01,296.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1993-12-01,304.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1994-01-01,318.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1994-02-01,329.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1994-03-01,345.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1994-04-01,336.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1994-05-01,319.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1994-06-01,310.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1994-07-01,303.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1994-08-01,295.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1994-09-01,291.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1994-10-01,294.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1994-11-01,308.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1994-12-01,316.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1995-01-01,318.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1995-02-01,356.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1995-03-01,337.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1995-04-01,326.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1995-05-01,313.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1995-06-01,303.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1995-07-01,297.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1995-08-01,293.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1995-10-01,299.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1995-11-01,304.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1995-12-01,304.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1996-01-01,318.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1996-02-01,324.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1996-03-01,340.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1996-04-01,320.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1996-05-01,309.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1996-06-01,297.0
63001500,ALTO SUCURIU,RIO SUCURIÚ,cotas,1996-07-01,292.0
