notes,period_end,period_start,rows,series_type,source_path,station_code,status
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/1952000/1952000_cotas.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,cotas,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\1952000\1952000_cotas.csv.error.txt,1952000,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/1952000/1952000_vazoes.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,vazoes,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\1952000\1952000_vazoes.csv.error.txt,1952000,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/1952003/1952003_cotas.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,cotas,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\1952003\1952003_cotas.csv.error.txt,1952003,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/1952003/1952003_vazoes.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,vazoes,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\1952003\1952003_vazoes.csv.error.txt,1952003,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/1952023/1952023_cotas.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,cotas,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\1952023\1952023_cotas.csv.error.txt,1952023,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/1952023/1952023_vazoes.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,vazoes,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\1952023\1952023_vazoes.csv.error.txt,1952023,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/2051009/2051009_cotas.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,cotas,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\2051009\2051009_cotas.csv.error.txt,2051009,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/2051009/2051009_vazoes.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,vazoes,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\2051009\2051009_vazoes.csv.error.txt,2051009,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/2051027/2051027_cotas.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,cotas,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\2051027\2051027_cotas.csv.error.txt,2051027,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/2051027/2051027_vazoes.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,vazoes,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\2051027\2051027_vazoes.csv.error.txt,2051027,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/2051037/2051037_cotas.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,cotas,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\2051037\2051037_cotas.csv.error.txt,2051037,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/2051037/2051037_vazoes.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,vazoes,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\2051037\2051037_vazoes.csv.error.txt,2051037,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/2052007/2052007_cotas.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,cotas,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\2052007\2052007_cotas.csv.error.txt,2052007,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/2052007/2052007_vazoes.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,vazoes,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\2052007\2052007_vazoes.csv.error.txt,2052007,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/40890000/40890000_cotas.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,cotas,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\40890000\40890000_cotas.csv.error.txt,40890000,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/40890000/40890000_vazoes.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,vazoes,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\40890000\40890000_vazoes.csv.error.txt,40890000,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/62019900/62019900_cotas.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,cotas,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\62019900\62019900_cotas.csv.error.txt,62019900,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/62019900/62019900_vazoes.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,vazoes,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\62019900\62019900_vazoes.csv.error.txt,62019900,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/62916000/62916000_cotas.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,cotas,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\62916000\62916000_cotas.csv.error.txt,62916000,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/62916000/62916000_vazoes.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,vazoes,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\62916000\62916000_vazoes.csv.error.txt,62916000,error
"ANA GitHub branch dev, conventional hydrological stations",2008-09-01,1983-01-01,295,cotas,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\63001500\63001500_cotas.csv,63001500,collected
"ANA GitHub branch dev, conventional hydrological stations",2005-07-01,1983-01-01,266,vazoes,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\63001500\63001500_vazoes.csv,63001500,collected
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/63001850/63001850_cotas.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,cotas,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\63001850\63001850_cotas.csv.error.txt,63001850,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/63001850/63001850_vazoes.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,vazoes,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\63001850\63001850_vazoes.csv.error.txt,63001850,error
"ANA GitHub branch dev, conventional hydrological stations",2010-06-01,1983-01-01,572,cotas,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\63002000\63002000_cotas.csv,63002000,collected
"ANA GitHub branch dev, conventional hydrological stations",2005-07-01,1983-01-01,265,vazoes,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\63002000\63002000_vazoes.csv,63002000,collected
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/63003200/63003200_cotas.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,cotas,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\63003200\63003200_cotas.csv.error.txt,63003200,error
"Client error '404 Not Found' for url 'https://raw.githubusercontent.com/anagovbr/hidro-dados-estacoes-convencionais/dev/fluviometricas/csv/63003200/63003200_vazoes.csv'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,0,vazoes,D:\Projetos\Github_ViniciusJ\Research_FREnTE\data\runs\operational-collect-jupia-20260607-225450\collection\ana_github_hidro_series\63003200\63003200_vazoes.csv.error.txt,63003200,error
